                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.71274,                0.68719,                 1.0522,                0.91619,                0.77083,                0.87007,                0.68137,                 1.0194,                0.85157,                 1.2797,              0.0010549,              0.0010549,              0.0010549
                     54,                0.77687,                0.90046,                 1.1118,                0.93276,                0.80656,                0.88418,                0.69853,                  1.003,                0.85967,                  1.264,              0.0010538,              0.0010538,              0.0010538
                     55,                0.73152,                0.74823,                  1.066,                0.81875,                 0.7842,                0.83212,                0.64596,                 1.0439,                0.94618,                 1.3163,              0.0010527,              0.0010527,              0.0010527
                     56,                0.69766,                0.65873,                 1.0391,                0.75189,                0.81354,                0.82861,                0.62504,                 1.0562,                 1.1052,                  1.351,              0.0010516,              0.0010516,              0.0010516
                     57,                0.71623,                0.71332,                 1.0622,                0.84119,                0.82571,                0.88842,                0.69943,                 1.0103,                0.84111,                  1.284,              0.0010505,              0.0010505,              0.0010505
                     58,                0.69758,                0.63667,                 1.0426,                0.84269,                0.79848,                0.83983,                0.67252,                 1.0382,                0.93887,                 1.3034,              0.0010494,              0.0010494,              0.0010494
                     59,                0.68459,                0.73019,                 1.0446,                0.87831,                0.75551,                0.88445,                0.70048,                   0.97,                0.98664,                 1.2145,              0.0010483,              0.0010483,              0.0010483
                     60,                0.70946,                0.67376,                 1.0455,                0.83863,                0.79901,                0.88165,                0.69674,                0.95772,                0.86926,                 1.2159,              0.0010472,              0.0010472,              0.0010472
                     61,                0.70444,                0.65539,                 1.0526,                0.78926,                0.82845,                0.86041,                0.69831,                0.94705,                0.83764,                  1.216,              0.0010461,              0.0010461,              0.0010461
                     62,                0.71997,                0.69939,                 1.0859,                0.83912,                0.85883,                 0.9052,                0.73487,                0.93681,                0.80053,                  1.186,               0.001045,               0.001045,               0.001045
                     63,                0.72458,                0.68746,                 1.0632,                0.84673,                0.76279,                0.85373,                0.67295,                0.99568,                 0.9416,                 1.2621,              0.0010439,              0.0010439,              0.0010439
                     64,                 0.6624,                0.66688,                  1.029,                0.84267,                0.79515,                0.86031,                0.69286,                0.95906,                0.85768,                 1.2204,              0.0010428,              0.0010428,              0.0010428
                     65,                 0.6892,                0.59492,                 1.1001,                0.85072,                0.77839,                 0.8785,                0.72602,                0.94159,                0.83271,                 1.1858,              0.0010417,              0.0010417,              0.0010417
                     66,                0.67201,                0.59775,                 1.0271,                0.76283,                0.73395,                0.79606,                0.62302,                 1.0236,                 1.0208,                 1.3202,              0.0010406,              0.0010406,              0.0010406
                     67,                0.67165,                0.67823,                 1.0508,                0.91358,                0.77624,                 0.8914,                0.73279,                0.94296,                0.90204,                 1.2046,              0.0010395,              0.0010395,              0.0010395
                     68,                 0.6554,                  0.658,                 1.0407,                0.86064,                0.81253,                0.90113,                0.72009,                0.93361,                0.87263,                 1.1992,              0.0010384,              0.0010384,              0.0010384
                     69,                0.67419,                0.60903,                  1.034,                 0.8746,                0.77279,                0.87998,                0.70214,                0.94962,                0.88318,                 1.2185,              0.0010373,              0.0010373,              0.0010373
                     70,                0.65739,                0.61001,                 1.0405,                0.87743,                 0.8266,                0.88699,                0.70426,                0.95773,                0.98998,                 1.2244,              0.0010362,              0.0010362,              0.0010362
                     71,                0.67636,                0.64769,                 1.0554,                 0.8708,                0.79126,                 0.8694,                0.70336,                0.95644,                0.98174,                 1.2251,              0.0010351,              0.0010351,              0.0010351
                     72,                0.66729,                0.62621,                 1.0223,                0.87075,                 0.8337,                0.89909,                0.72462,                0.95982,                0.83193,                 1.2262,               0.001034,               0.001034,               0.001034
                     73,                0.65027,                0.69767,                  1.036,                0.88829,                0.84196,                0.89644,                0.73713,                0.92811,                0.83465,                 1.2113,              0.0010329,              0.0010329,              0.0010329
                     74,                0.62996,                0.60669,                 1.0408,                0.79912,                0.84256,                0.89404,                0.71732,                0.94074,                0.87306,                 1.2143,              0.0010318,              0.0010318,              0.0010318
                     75,                0.64405,                0.62055,                 1.0198,                0.84485,                0.77779,                0.84033,                0.67839,                0.93604,                0.90092,                 1.2131,              0.0010307,              0.0010307,              0.0010307
                     76,                 0.6576,                0.62813,                 1.0428,                0.84333,                0.77481,                0.87159,                0.70116,                0.94876,                0.88129,                 1.2409,              0.0010296,              0.0010296,              0.0010296
                     77,                 0.6537,                0.60977,                 1.0321,                 0.8373,                0.80747,                0.87262,                0.69634,                0.99198,                0.83673,                 1.2853,              0.0010285,              0.0010285,              0.0010285
                     78,                0.64084,                0.57351,                 1.0314,                0.88081,                0.78609,                0.89574,                0.72227,                0.95129,                0.86869,                 1.2128,              0.0010274,              0.0010274,              0.0010274
                     79,                0.63407,                0.61347,                 1.0414,                 0.8545,                0.75328,                0.87396,                0.70965,                0.92203,                0.85383,                 1.2057,              0.0010263,              0.0010263,              0.0010263
                     80,                0.63127,                0.60943,                 1.0411,                0.85482,                0.84142,                0.90185,                0.72517,                0.95075,                0.84446,                 1.2296,              0.0010252,              0.0010252,              0.0010252
                     81,                0.62922,                0.58014,                 1.0127,                0.81266,                0.83315,                0.84964,                 0.6821,                0.99422,                0.94653,                 1.2421,              0.0010241,              0.0010241,              0.0010241
                     82,                0.69494,                0.71101,                 1.0873,                0.85371,                0.75467,                0.84803,                0.67172,                 1.0112,                0.97476,                 1.2797,               0.001023,               0.001023,               0.001023
                     83,                0.64863,                0.65542,                 1.0494,                 0.8447,                0.82751,                0.88259,                0.71164,                0.95664,                0.80787,                 1.2314,              0.0010219,              0.0010219,              0.0010219
                     84,                0.62426,                0.61958,                 1.0107,                0.85585,                0.80604,                0.88866,                0.72742,                0.94614,                0.86345,                 1.2076,              0.0010208,              0.0010208,              0.0010208
                     85,                0.64937,                0.58213,                 1.0258,                0.89525,                0.73844,                0.85926,                0.70802,                0.93198,                0.87235,                 1.2167,              0.0010197,              0.0010197,              0.0010197
                     86,                0.63556,                0.56384,                 1.0054,                 0.8894,                0.81122,                0.88502,                 0.7193,                0.93605,                0.86261,                  1.194,              0.0010186,              0.0010186,              0.0010186
                     87,                0.61429,                 0.5685,                 1.0153,                0.86186,                 0.8601,                0.87668,                 0.7107,                0.94291,                0.88643,                  1.216,              0.0010175,              0.0010175,              0.0010175
                     88,                0.62755,                0.54793,                 1.0243,                0.86664,                0.82096,                0.87321,                0.69771,                0.96128,                0.82623,                 1.2349,              0.0010164,              0.0010164,              0.0010164
                     89,                0.60081,                0.58604,                 1.0064,                0.90878,                0.79935,                0.89759,                0.73097,                0.95325,                0.77319,                 1.2132,              0.0010153,              0.0010153,              0.0010153
                     90,                0.60179,                0.53533,                 0.9931,                0.81494,                0.84309,                0.87567,                0.69496,                 1.0133,                0.86263,                 1.2802,              0.0010142,              0.0010142,              0.0010142
                     91,                 0.6196,                0.55855,                 1.0186,                0.88552,                0.79901,                0.87839,                0.70946,                0.94641,                0.86048,                 1.2245,              0.0010131,              0.0010131,              0.0010131
